source,target,distance	
p1.136,p1.719,0.036512751	
p1.136,p2.135,0.047864276	
p2.135,p1.719,0.065808839	
p1.136,p3.105,0.039072323	
p3.105,p1.719,0.056683614	
p3.105,p2.135,0.030875811	
p1.136,p3.529,0.047050801	
p3.529,p1.719,0.066106131	
p3.529,p2.135,0.039048257	
p3.105,p3.529,0.016840208	
p1.136,p5.317,0.053230116	
p1.719,p5.317,0.076272793	
p2.135,p5.317,0.059377231	
p3.105,p5.317,0.064641376	
p3.529,p5.317,0.067320655	
p1.136,p6.6767,0.064747327	
p1.719,p6.6767,0.085096079	
p2.135,p6.6767,0.064709418	
p3.105,p6.6767,0.056559954	
p3.529,p6.676,0.058314365	
p5.317,p6.6767,0.070203999	
p1.136,p7.6760,0.081409201	
p1.719,p7.6760,0.09679141	
p2.135,p7.6760,0.081456169	
p3.105,p7.6760,0.069080833	
p3.529,p7.6760,0.074464311	
p5.317,p7.6760,0.093325824	
p6.6767,p7.6760,0.09746353	
p1.136,p8.159,0.058193267	
p1.719,p8.159,0.086120654	
p2.135,p8.159,0.072522206	
p3.105,p8.159,0.06298131	
p3.529,p8.159,0.063167104	
p5.317,p8.159,0.075409644	
p6.6767,p8.159,0.081510134	
p8.159,p7.6760,0.092344843	
p1.136,p8.822,0.050497073	
p1.719,p8.822,0.07575673	
p2.135,p8.822,0.063008863	
p3.105,p8.822,0.057570316	
p3.529,p8.822,0.057375236	
p8.822,p5.317,0.070716161	
p8.822,p6.6767,0.069610175	
p8.822,p7.6760,0.089469008	
p8.822,p8.159,0.029760527	
p1.136,p9.256,0.052772933	
p1.719,p9.256,0.080466447	
p2.135,p9.256,0.06390553	
p3.105,p9.256,0.05768066	
p3.529,p9.256,0.060903467	
p5.317,p9.256,0.066660307	
p9.256,p6.6767,0.075091238	
p9.256,p7.6760,0.089983676	
p9.256,p8.159,0.031287584	
p8.822,p9.256,0.035365794	
p1.136,p10.113,0.057248849	
p1.719,p10.113,0.087437874	
p2.135,p10.113,0.06172357	
p3.105,p10.113,0.057042034	
p3.529,p10.113,0.059894205	
p5.317,p10.113,0.075747978	
p10.113,p6.6767,0.074833656	
p10.113,p7.6760,0.085750666	
p10.113,p8.159,0.040234347	
p8.822,p10.113,0.032813239	
p10.113,p9.256,0.038129626	
p1.136,p10.9939,0.071142793	
p1.719,p10.9939,0.095801253	
p2.135,p10.9939,0.079267882	
p3.105,p10.9939,0.065966676	
p3.529,p10.9939,0.06142382	
p5.317,p10.9939,0.084500019	
p6.6767,p10.9939,0.08500499	
p10.9939,p7.6760,0.093128882	
p8.159,p10.9939,0.059178599	
p8.822,p10.9939,0.050755389	
p9.256,p10.9939,0.058476821	
p10.113,p10.9939,0.038650618	
